Model Accuracy: 0.73 | LD: 0.10 | FP: 0.13 | FN: 0.14
Model Accuracy: 0.72 | LD: 0.13 | FP: 0.17 | FN: 0.11
Model Accuracy: 0.69 | LD: 0.13 | FP: 0.15 | FN: 0.17
Model Accuracy: 0.73 | LD: 0.13 | FP: 0.13 | FN: 0.14
Model Accuracy: 0.72 | LD: 0.15 | FP: 0.15 | FN: 0.13
Model Accuracy: 0.69 | LD: 0.11 | FP: 0.21 | FN: 0.10
Model Accuracy: 0.75 | LD: 0.11 | FP: 0.17 | FN: 0.08
Model Accuracy: 0.75 | LD: 0.13 | FP: 0.15 | FN: 0.10
Model Accuracy: 0.71 | LD: 0.12 | FP: 0.18 | FN: 0.11
Model Accuracy: 0.72 | LD: 0.14 | FP: 0.19 | FN: 0.09
Model Accuracy: 0.68 | LD: 0.16 | FP: 0.10 | FN: 0.22
Model Accuracy: 0.69 | LD: 0.15 | FP: 0.20 | FN: 0.11
Model Accuracy: 0.74 | LD: 0.13 | FP: 0.16 | FN: 0.10
Model Accuracy: 0.68 | LD: 0.14 | FP: 0.14 | FN: 0.18
Model Accuracy: 0.67 | LD: 0.13 | FP: 0.12 | FN: 0.21
Model Accuracy: 0.71 | LD: 0.15 | FP: 0.17 | FN: 0.11
Model Accuracy: 0.68 | LD: 0.16 | FP: 0.14 | FN: 0.18
Model Accuracy: 0.69 | LD: 0.11 | FP: 0.20 | FN: 0.11
Model Accuracy: 0.74 | LD: 0.15 | FP: 0.14 | FN: 0.12
Model Accuracy: 0.72 | LD: 0.13 | FP: 0.16 | FN: 0.12
Model Accuracy: 0.70 | LD: 0.12 | FP: 0.14 | FN: 0.16
Model Accuracy: 0.72 | LD: 0.13 | FP: 0.16 | FN: 0.11
Model Accuracy: 0.68 | LD: 0.14 | FP: 0.17 | FN: 0.14
Model Accuracy: 0.73 | LD: 0.12 | FP: 0.12 | FN: 0.15
Model Accuracy: 0.72 | LD: 0.13 | FP: 0.15 | FN: 0.13
Model Accuracy: 0.74 | LD: 0.13 | FP: 0.12 | FN: 0.13
Model Accuracy: 0.74 | LD: 0.13 | FP: 0.16 | FN: 0.10
Model Accuracy: 0.74 | LD: 0.11 | FP: 0.15 | FN: 0.10
Model Accuracy: 0.73 | LD: 0.15 | FP: 0.16 | FN: 0.11
Model Accuracy: 0.67 | LD: 0.12 | FP: 0.18 | FN: 0.14

Average Accuracy: 0.71
